b,chi,seed,LBOR,NOR,COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95),ROR
10,8,0,92,400,106,89,71,46,56,73,107,209,54,
10,8,1,197,400,166,138,112,85,53,71,106,206,77,
10,8,2,65,304,86,70,55,43,54,72,106,210,47,
10,8,3,163,400,109,90,68,57,71,78,110,218,59,
10,8,4,66,290,68,54,35,41,52,70,103,202,41,
10,8,5,90,400,124,108,90,71,57,72,106,205,53,
10,8,6,63,239,58,45,40,43,56,76,104,202,49,
10,8,7,127,400,119,99,79,53,57,72,106,208,54,
10,8,8,83,318,81,66,50,41,52,69,104,203,48,
10,8,9,103,195,46,35,34,42,53,70,102,200,43,
10,8,10,114,400,137,116,94,70,58,78,111,218,62,
10,8,11,129,400,133,112,92,69,52,70,108,209,56,
10,8,12,99,365,87,74,61,51,66,99,109,209,60,
10,8,13,227,400,120,98,75,51,64,81,126,209,72,
10,8,14,55,191,51,43,50,60,91,82,111,212,57,
10,8,15,59,179,39,32,35,42,52,70,106,205,46,
10,8,16,50,219,49,35,38,46,56,72,110,214,49,
10,8,17,73,211,56,44,37,44,54,74,111,210,48,
10,8,18,146,400,167,141,116,88,81,87,119,201,77,
10,8,19,48,166,40,39,43,47,57,74,107,210,57,
10,8,20,92,373,92,83,71,57,55,74,105,207,69,
10,8,21,77,181,52,47,39,44,56,74,110,212,52,
10,8,22,33,183,40,32,35,43,54,72,107,207,46,
10,8,23,58,253,58,45,35,41,52,69,104,206,46,
10,8,24,42,138,54,43,37,43,54,72,106,203,53,
10,8,25,39,259,71,61,47,45,56,73,109,213,50,
10,8,26,104,275,62,45,36,43,54,73,109,212,54,
10,8,27,89,286,67,53,42,46,56,72,108,209,50,
10,8,28,50,247,61,47,39,48,57,73,107,210,56,
10,8,29,81,264,60,45,36,44,55,73,107,208,50,
10,8,30,93,364,90,75,59,44,56,74,113,217,48,
10,8,31,87,289,66,35,37,44,55,71,105,202,49,
10,8,32,154,332,77,61,42,44,53,72,104,205,51,
10,8,33,209,400,197,167,138,110,76,75,107,213,90,
10,8,34,57,267,69,57,40,44,55,73,108,210,49,
10,8,35,93,400,129,109,87,60,56,74,110,203,58,
10,8,36,66,253,53,36,35,42,53,71,102,209,55,
10,8,37,400,400,328,277,228,180,127,93,109,213,150,
10,8,38,94,400,125,97,61,60,54,73,107,211,59,
10,8,39,106,296,64,47,36,43,55,72,110,214,49,
10,8,40,81,252,89,74,57,49,58,73,108,215,55,
10,8,41,73,369,86,68,43,48,57,73,112,212,48,
10,8,42,162,400,192,162,133,104,69,72,106,211,83,
10,8,43,84,400,133,111,89,63,58,72,105,205,53,
10,8,44,86,329,88,74,57,46,57,73,109,212,49,
10,8,45,68,303,70,56,41,42,53,71,104,209,49,
10,8,46,120,400,154,129,104,72,71,78,112,216,84,
10,8,47,85,270,67,54,43,48,56,72,105,202,48,
10,8,48,196,397,111,93,75,57,61,74,108,208,63,
10,8,49,127,400,230,193,157,121,87,72,107,211,108,
10,8,50,64,333,82,67,47,44,53,71,108,208,48,
10,8,51,79,301,70,56,37,43,55,74,112,214,42,
10,8,52,185,400,135,98,84,78,60,80,110,210,121,
10,8,53,74,322,88,92,152,114,75,73,106,208,94,
10,8,54,39,158,34,30,35,42,53,73,108,213,44,
10,8,55,382,400,400,400,378,306,239,200,159,219,264,
10,8,56,176,400,139,117,95,72,61,77,113,203,77,
10,8,57,88,303,77,64,50,42,53,71,106,211,52,
10,8,58,71,220,51,39,38,46,56,72,106,208,49,
10,8,59,52,291,107,96,85,65,72,70,105,203,72,
10,8,60,97,400,156,130,103,66,59,73,109,207,62,
10,8,61,72,214,49,37,36,43,54,73,108,206,45,
10,8,62,66,283,69,55,38,42,53,70,109,208,49,
