b,chi,seed,NOR,COR(1.05),COR(1.10),COR(1.15),COR(1.20),COR(1.25),COR(1.30),COR(1.35),COR(1.40),COR(1.45),COR(1.50),COR(1.55),COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95)
6,1,0,84,76,69,62,56,50,45,39,33,30,29,27,29,31,36,39,49,63,95,176,
6,1,1,22,20,18,16,13,11,11,12,13,14,16,18,21,25,29,36,47,62,91,182,
6,1,2,29,26,24,21,19,16,13,13,14,15,17,20,22,25,31,36,47,60,92,180,
6,1,3,40,35,32,28,24,21,17,15,15,15,16,20,23,25,30,36,47,61,91,181,
6,1,4,42,38,35,32,29,26,23,20,16,16,18,20,22,26,30,37,47,63,92,187,
6,1,5,44,39,35,31,27,24,19,16,16,16,18,20,23,27,32,38,49,63,96,185,
6,1,6,30,27,24,21,19,16,13,13,14,15,17,19,22,26,30,36,46,63,93,191,
6,1,7,26,23,21,18,16,13,12,13,14,16,18,20,23,26,30,36,46,62,94,180,
6,1,8,85,77,70,63,57,51,45,40,34,29,21,19,23,26,31,37,47,64,95,188,
6,1,9,25,23,20,18,15,12,12,13,14,16,18,20,23,26,30,37,48,64,95,187,
6,1,10,39,36,33,30,27,25,22,19,15,16,17,19,22,26,30,37,45,61,89,180,
6,1,11,23,21,19,16,14,12,11,13,14,16,18,20,23,25,31,38,46,63,95,184,
6,1,12,68,62,56,51,46,41,36,32,27,21,21,21,23,25,31,38,49,64,97,187,
6,1,13,55,50,45,41,37,33,29,25,20,17,18,20,23,27,33,39,49,65,96,178,
6,1,14,31,28,26,23,21,18,16,12,14,15,17,20,22,25,31,37,46,62,90,178,
6,1,15,18,16,14,13,11,10,11,12,13,15,17,19,22,26,31,37,48,64,96,181,
6,1,16,42,39,36,33,29,26,23,20,17,18,18,20,23,27,32,38,48,66,99,190,
6,1,17,24,21,19,17,14,11,12,13,14,16,17,20,22,26,30,37,46,63,94,187,
6,1,18,32,29,26,23,21,18,16,17,18,19,20,22,24,27,31,37,47,65,95,188,
6,1,19,51,46,42,38,34,30,26,22,18,16,17,20,23,26,30,37,48,63,96,180,
6,1,20,29,26,23,20,18,15,11,13,13,15,17,19,22,26,31,37,47,63,94,187,
6,1,21,67,60,54,49,44,38,34,31,30,30,30,30,31,32,35,42,49,64,94,187,
6,1,22,44,40,36,33,29,26,23,20,15,15,17,19,22,26,30,37,48,63,95,184,
6,1,23,32,30,27,24,22,19,16,14,15,17,18,20,24,27,33,39,48,67,98,192,
6,1,24,31,28,25,22,20,17,13,14,15,16,18,20,23,26,30,37,47,62,92,181,
6,1,25,49,44,40,36,32,28,24,20,15,16,18,19,23,27,31,39,47,63,95,179,
6,1,26,22,19,17,15,13,11,12,12,14,15,17,20,22,26,31,38,47,63,95,184,
6,1,27,147,134,122,111,100,90,81,72,63,55,46,29,34,28,33,43,50,66,98,187,
6,1,28,33,30,27,24,22,19,15,15,16,18,20,20,24,27,32,38,48,63,93,180,
6,1,29,25,21,23,22,20,18,15,15,17,18,20,23,25,28,33,39,49,64,96,185,
6,2,0,85,77,69,62,55,49,43,37,31,23,21,20,24,27,32,40,50,66,99,191,
6,2,1,46,42,38,35,31,28,25,21,20,21,22,24,27,30,35,41,52,68,95,187,
6,2,2,54,50,46,42,39,36,33,34,27,22,19,21,23,26,31,37,48,64,94,198,
6,2,3,65,59,52,47,42,37,32,28,22,21,21,23,25,29,33,40,50,69,100,189,
6,2,4,176,159,145,131,118,33,27,22,18,19,19,22,24,28,33,40,52,69,101,200,
6,2,5,47,43,39,35,31,28,24,20,20,20,22,24,26,30,35,41,52,69,102,195,
6,2,6,192,175,159,144,131,118,106,95,84,74,64,53,41,34,33,39,49,67,99,184,
6,2,7,55,50,45,40,36,32,29,25,21,17,18,21,23,27,33,57,56,69,100,196,
6,2,8,35,32,28,25,23,20,16,15,16,17,19,21,25,29,35,41,51,68,99,197,
6,2,9,199,182,166,151,138,125,114,103,93,84,75,69,28,29,36,44,50,66,99,195,
6,2,10,39,35,31,28,25,21,18,15,16,18,20,22,25,27,32,39,49,66,97,193,
6,2,11,181,163,147,132,119,106,94,82,70,58,49,41,34,34,38,44,54,70,100,196,
6,2,12,47,42,38,34,31,27,24,19,18,19,21,22,24,28,32,40,50,65,99,191,
6,2,13,50,45,41,37,33,30,26,22,20,21,20,24,26,31,35,42,51,68,102,192,
6,2,14,67,60,54,49,44,39,34,29,24,22,23,24,26,29,32,40,50,66,99,196,
6,2,15,56,50,44,38,30,28,28,27,24,20,20,22,25,28,34,40,50,67,101,198,
6,2,16,60,54,48,43,38,34,29,25,20,17,19,21,24,28,33,41,51,68,100,195,
6,2,17,107,97,88,80,72,65,58,51,44,38,37,37,38,41,43,50,57,72,104,193,
6,2,18,95,86,78,71,65,58,52,47,41,35,29,27,29,31,34,42,52,68,101,197,
6,2,19,38,34,31,28,25,23,19,15,17,18,20,22,25,29,33,40,50,66,100,192,
6,2,20,39,35,32,29,26,23,20,16,15,17,19,21,24,28,33,39,48,66,99,191,
6,2,21,42,38,34,31,27,24,20,16,16,17,19,21,24,28,32,38,50,66,97,192,
6,2,22,52,47,43,39,36,32,28,25,20,20,21,23,25,28,33,39,50,67,98,195,
6,2,23,52,47,43,40,36,33,31,28,26,32,33,31,30,30,34,40,51,67,99,193,
6,2,24,36,33,29,26,23,20,15,15,16,18,19,22,24,28,33,41,50,66,100,198,
6,2,25,72,65,59,53,48,42,37,33,27,19,20,22,26,29,33,40,51,68,102,193,
6,2,26,44,40,36,32,29,26,22,18,15,16,18,20,24,27,32,39,50,65,101,193,
6,2,27,32,29,26,24,21,18,16,13,14,16,18,21,23,27,32,39,49,66,97,193,
6,2,28,117,105,94,84,74,65,56,48,41,33,25,22,24,27,32,44,53,73,101,194,
6,2,29,23,21,19,17,16,14,14,15,17,18,20,23,26,30,35,41,52,67,103,195,
6,3,0,69,62,56,51,46,41,37,32,28,22,20,22,25,29,34,45,53,70,100,203,
6,3,1,110,99,90,81,73,65,58,51,44,36,33,32,33,34,38,42,52,70,104,200,
6,3,2,131,119,108,97,88,79,71,63,55,48,39,36,36,37,41,46,53,67,103,196,
6,3,3,163,146,131,118,106,95,85,75,66,57,48,39,32,32,33,41,52,68,102,198,
6,3,4,101,92,83,75,67,59,52,44,32,33,31,26,26,30,34,40,52,71,107,205,
6,3,5,82,75,68,62,56,50,44,39,33,25,26,27,29,32,36,43,54,70,114,198,
6,3,6,66,60,54,49,44,40,35,31,26,21,19,21,24,28,33,40,50,68,101,194,
6,3,7,67,61,55,50,45,40,36,31,27,21,20,22,25,28,34,40,51,68,101,199,
6,3,8,191,171,153,136,121,106,91,76,59,46,48,42,31,34,48,44,56,71,105,201,
6,3,9,64,58,53,48,44,40,36,32,28,23,23,25,34,30,34,40,51,66,99,197,
6,3,10,68,61,55,49,44,39,34,30,25,18,21,22,24,29,34,42,51,71,106,199,
6,3,11,76,69,62,56,50,45,40,35,30,26,20,21,24,27,34,41,51,71,103,195,
6,3,12,78,71,64,58,52,47,41,36,31,25,24,26,29,33,37,45,56,72,107,213,
6,3,13,216,196,177,159,143,128,115,102,90,78,65,60,58,56,57,59,69,69,103,210,
6,3,14,111,100,91,82,74,66,59,53,47,40,34,27,25,28,34,41,51,69,101,196,
6,3,15,70,64,58,52,47,42,37,33,28,21,20,22,26,30,34,42,53,71,107,205,
6,3,16,144,129,115,103,91,80,69,58,39,46,45,41,38,116,87,61,52,68,99,198,
6,3,17,73,64,55,47,32,40,39,34,184,189,134,61,92,81,56,65,71,97,134,204,
6,3,18,95,86,78,71,64,58,52,46,41,35,28,27,28,31,36,43,52,70,106,202,
6,3,19,89,81,73,65,59,52,46,40,35,29,20,23,25,29,34,41,52,69,103,200,
6,3,20,400,400,400,400,368,332,297,264,232,195,150,94,88,77,54,64,59,70,103,205,
6,3,21,137,122,109,98,87,77,67,59,51,43,35,26,25,28,33,41,52,69,100,198,
6,3,22,138,149,149,151,103,88,76,67,58,50,42,34,24,29,33,41,51,68,102,200,
