b,chi,seed,trueError,COR(1.000),COR(1.500),COR(1.667),COR(1.750),COR(1.800),COR(1.833),COR(1.857),COR(1.875),COR(1.889),COR(1.900),COR(1.909),COR(1.917),COR(1.923),COR(1.929),COR(1.933),COR(1.938),COR(1.941),COR(1.944),COR(1.947),COR(1.950)
2,1,412,0.3497931965019243,22,29,45,59,72,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,678,0.0013894225774575128,32,100,77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,956,0.08497651878767734,18,52,97,80,77,86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,215,0.26213844052599516,17,26,42,58,73,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,469,0.022398722165539908,33,27,47,65,85,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,723,0.38244148479349954,32,34,48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,989,0.16383014586044004,100,32,100,71,85,100,100,100,100,100,17,17,17,20,21,23,100,100,100,100,
2,1,205,0.022880785114283403,100,38,48,71,88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,471,0.2660778267553274,8,33,46,65,80,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2,1,724,0.02629679730639824,95,35,47,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,0,7.227896043913376,26,32,51,60,78,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,275,8.559234385775122,32,30,44,58,79,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,538,4.269020979095934,18,31,5,4,4,4,4,4,4,4,4,4,4,8,8,11,11,100,100,11,
3,1,596,3.9773996563601903,49,29,51,62,81,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,869,0.4764608401618203,51,27,55,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,139,4.253837332378103,22,37,46,76,79,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,401,2.4754165012030027,68,29,43,78,77,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,667,2.5380930284197394,36,41,47,63,86,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,1,934,2.2359877198436746,76,31,48,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
3,1,980,5.480103172166448,83,38,50,61,79,93,100,100,100,100,21,100,100,33,29,100,100,100,100,43,
3,2,217,0.038089284171011234,100,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,506,0.008703335011341,41,100,100,94,78,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,787,1.1277162461951047,43,25,56,76,73,92,100,100,100,100,100,100,7,11,11,11,14,14,14,14,
3,2,953,0.3652072765050197,100,45,48,61,78,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,230,0.0439406000671949,83,53,68,100,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,517,0.018574074915522466,17,57,74,61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,779,0.6829044939922286,41,100,77,60,100,100,100,100,100,100,100,20,20,23,23,24,27,30,29,33,
3,2,962,0.03697512146992685,100,66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,258,0.038433686723798856,67,76,92,97,83,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,2,537,0.3727061351095063,32,67,47,81,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,1,804,26.748164186373316,75,32,46,61,92,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,1,72,14.979262142945002,47,30,47,64,77,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
