b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,922,1.3056769029398438,1.3056769029398427,1.3056769029398434,1.3056769029398434,1.3056769029398434,1.3260922069516976,1.3056769029398438,1.3056769029398443,1.3056769029398432,1.3056769029398418,1.3056769029398434,1.3056769029398432,minError
4,2,343,1.5374646076470602,1.5374646076470602,1.5374646076470597,1.5374646076470597,1.5374646076470624,1.5474277197771866,1.5374646076470608,1.5374646076470615,1.5374646076470606,1.5374646076470602,1.5374646076470615,1.5374646076470615,minError
4,2,744,2.212457075357006,2.2124570753570074,2.212457075357008,2.2124570753570034,2.2124570753570074,2.2294992703717167,2.2124570753570056,2.2124570753570074,2.21245707535701,2.2124570753570074,2.2124570753570056,2.2124570753570088,minError
4,2,178,7.263509954672827,7.263509954672824,7.263509954672825,7.263509954672826,4.278753229577409,7.274689998634049,7.263509954672825,4.278753229577415,4.27875322957742,4.278753229577411,4.278753229577409,4.278753229577414,minError
4,2,469,1.5447908864258548,3.181627268462829,3.1816272684628286,3.181627268462824,1.5447908864258502,3.1898749318963935,3.1816272684628273,1.5447908864258553,1.5447908864258495,1.5447908864258522,1.5447908864258508,1.5447908864258557,minError
4,2,889,1.6559977416405127,1.6559977416405123,1.6559977416405136,1.655997741640513,1.6559977416405136,1.665395617624914,1.6559977416405123,b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,951,0.8829811716520326,0.8829811716520333,0.8829811716520333,0.8829811716520328,0.882981171652033,0.892673751405763,0.8829811716520327,nan,nan,0.8829811716520325,0.8829811716520324,0.8829811716520327,minError
b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,932,2.1048429083898887,2.104842908389886,2.1048429083898856,2.104842908389887,2.1048429083898874,2.1114584903501923,2.104842908389887,2.1048429083898883,2.1048429083898874,2.104842908389886,2.1048429083898856,2.104842908389886,minError
4,2,352,1.8016030837216745,1.8016030837216772,1.801603083721675,1.8016030837216777,1.8016030837216768,1.8166450944788057,1.8016030837216752,1.8016030837216768,1.8016030837216774,1.8016030837216777,1.801603083721675,1.801603083721678,minError
4,2,832,1.6673507535088923,1.6673507535088907,1.6673507535088912,1.6673507535088912,1.667350753508892,1.6873658053841618,1.667350753508892,1.667350753508891,1.6673507535088916,1.6673508037844549,1.6673507535088914,1.667350753508891,minError
4,2,212,1.4039000080261819,1.4039000080261812,1.4039000080261808,1.4039000080261776,1.4039000080261803,1.4171659540755117,1.4039000080261812,1.4039000080261825,1.4039000080261808,1.4039000080261803,1.4039000080261803,nan,minError
4,2,432,3.162838857463772,3.162838857463772,3.1628388574637754,3.16283885746378,3.1628388574637754,3.750511654277642,3.7241380428182485,3.1628388574637745,3.1628388574637776,3.162838857463775,3.1628388574637762,5.452677567323883,minError
4,2,686,1.796921058486216,1.7969210584862134,1.7969210584862167,1.7969210584862152,1.7969210584862145,1.804601709044599,1.7969210584862112,1.7969210584862108,1.7969210584862145,1.7969210584862119,1.7969210584862112,1.7969210584862112,minError
4,2,143,1.0261547765841343,1.026154774711336,1.0261547747113342,1.0261547747113329,1.0261547747113338,1.0318765476904745,1.026154774711335,1.2865603330119977,1.2865603330119986,1.286560333011998,1.2865603330120003,1.0261547747113378,minError
4,2,387,2.234117822654664,2.2341178226546616,2.234117822654661,2.234117822654664,2.234117822654662,2.2384377126799446,2.2341178226546625,2.234117822654662,2.234117822654661,2.2341178226546594,nan,2.2341178226546616,minError
4,2,492,1.260396466630636,1.260396466630637,1.2603964666306362,1.2603964666306364,1.260396466630636,1.2695605560014263,1.2603964666306364,nan,1.2603964666306373,1.260396466630637,1.260396466630636,1.2603964666306355,minError
4,2,550,4.469613418122892,4.4696134181228935,2.3222803668959893,2.3222803668959906,2.3222803668959884,4.502073650972831,2.3222803668959946,4.469613418122893,4.4696134181228935,nan,4.469613418122892,4.4696134181228935,minError
b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,981,2.069876550549466,2.0698765505494703,2.0698765505494694,2.069876550549468,2.0698765505494654,2.078631119835646,2.0698765505494725,2.069876550549468,2.069876550549465,2.0698765505494663,2.069876550549468,2.0698765505494663,minError
4,2,295,2.32580743798184,2.3258074379818416,2.3258074379818394,2.3258074379818408,2.325807437981841,2.33593166638034,2.1988093231630086,2.3258074379818403,2.3258074379818403,2.325807437981839,2.3258074379818394,2.3258074379818394,minError
